Age,Gender,Education Level,Job Title,Years of Experience,Salary
32,Male,Bachelor's,Software Engineer,5,90000
28,Female,Master's,Data Analyst,3,65000
45,Male,PhD,Senior Manager,15,150000
36,Female,Bachelor's,Sales Associate,7,60000
52,Male,Master's,Director,20,200000
29,Male,Bachelor's,Marketing Analyst,2,55000
42,Female,Master's,Product Manager,12,120000
31,Male,Bachelor's,Sales Manager,4,80000
26,Female,Bachelor's,Marketing Coordinator,1,45000
38,Male,PhD,Senior Scientist,10,110000
29,Male,Master's,Software Developer,3,75000
48,Female,Bachelor's,HR Manager,18,140000
35,Male,Bachelor's,Financial Analyst,6,65000
40,Female,Master's,Project Manager,14,130000
27,Male,Bachelor's,Customer Service Rep,2,40000
44,Male,Bachelor's,Operations Manager,16,125000
33,Female,Master's,Marketing Manager,7,90000
39,Male,PhD,Senior Engineer,12,115000
25,Female,Bachelor's,Data Entry Clerk,0,35000
